url,title,category,grade,depth_score,is_shallow,word_count,headings,bullet_points,boilerplate_matches,author,date,Updated
https://amdmachines.com/blog/ai-powered-safety-systems-reduce-incidents-60/,AI-Powered Safety Systems Reduce Incidents 60%,News,F - Boilerplate,0,Yes,233,6,11,11,AMD Machines News Desk,10/1/25,Updated 2026-01-28
https://amdmachines.com/blog/predictions-for-industrial-ai-in-2026/,Predictions for Industrial AI in 2026,News,F - Boilerplate,0,Yes,242,6,11,11,AMD Machines News Desk,12/28/25,Updated 2026-01-28
https://amdmachines.com/blog/abb-and-microsoft-expand-azure-based-robot-management-platfo/,ABB and Microsoft Expand Azure-Based Robot Management,News,F - Boilerplate,0,Yes,246,6,11,11,AMD Machines News Desk,11/12/24,Updated 2026-01-28
https://amdmachines.com/blog/japan-leads-in-robot-to-worker-ratio-at-63110000/,"Japan Leads in Robot-to-Worker Ratio at 631:10,000",News,F - Boilerplate,0,Yes,235,6,11,11,AMD Machines News Desk,11/12/25,Updated 2026-01-28
https://amdmachines.com/blog/mixed-reality-training-accelerates-automation-operator-skill/,Mixed Reality Training Accelerates Automation Operator,News,F - Boilerplate,0,Yes,243,6,11,11,AMD Machines News Desk,7/5/25,Updated 2026-01-28
https://amdmachines.com/blog/autonomous-material-transport-systems-see-wide-adoption/,Autonomous Material Transport Systems See Wide Adoption,News,F - Boilerplate,0,Yes,237,6,11,11,AMD Machines News Desk,3/5/25,Updated 2026-01-28
https://amdmachines.com/blog/manufacturing-job-quality-improves-with-automation/,Manufacturing Job Quality Improves with Automation,News,F - Boilerplate,0,Yes,242,6,11,11,AMD Machines News Desk,1/15/26,Updated 2026-01-28
https://amdmachines.com/blog/aerospace-industry-mandates-digital-thread-for-major-program/,Aerospace Industry Mandates Digital Thread for Major,News,F - Boilerplate,0,Yes,237,6,11,11,AMD Machines News Desk,8/12/25,Updated 2026-01-28
https://amdmachines.com/blog/ai-driven-supply-chain-resilience-becomes-priority/,AI-Driven Supply Chain Resilience Becomes Priority,News,F - Boilerplate,0,Yes,238,6,11,11,AMD Machines News Desk,10/30/24,Updated 2026-01-29
https://amdmachines.com/blog/delta-robots-for-high-speed-pick-and-place-applications/,Delta Robots for High-Speed Pick and Place Applications,Robotics,F - Boilerplate,0,Yes,341,6,15,24,AMD Machines Team,1/8/26,Updated 2026-01-29
https://amdmachines.com/blog/new-ai-chip-generation-enables-real-time-robot-learning/,New AI Chip Generation Enables Real-Time Robot Learning,News,F - Boilerplate,0,Yes,239,6,11,11,AMD Machines News Desk,1/10/26,Updated 2026-01-29
https://amdmachines.com/blog/ai-cybersecurity-for-manufacturing-advances/,AI Cybersecurity for Manufacturing Advances,News,F - Boilerplate,0,Yes,234,6,11,11,AMD Machines News Desk,6/15/25,Updated 2026-01-29
https://amdmachines.com/blog/universal-robots-unveils-ai-copilot-for-ur+-ecosystem/,Universal Robots Unveils AI Copilot for UR+ Ecosystem,News,F - Boilerplate,0,Yes,249,6,11,11,AMD Machines News Desk,12/12/24,Updated 2026-01-29
https://amdmachines.com/blog/industrial-metaverse-platforms-gain-traction/,Industrial Metaverse Platforms Gain Traction,News,F - Boilerplate,0,Yes,231,6,11,11,AMD Machines News Desk,1/18/26,Updated 2026-01-29
https://amdmachines.com/blog/ai-powered-quality-systems-reduce-scrap-30/,AI-Powered Quality Systems Reduce Scrap 30%,News,F - Boilerplate,0,Yes,236,6,11,11,AMD Machines News Desk,11/1/24,Updated 2026-01-29
https://amdmachines.com/blog/ces-2026-ai-and-robotics-dominate-manufacturing-technology/,CES 2026: AI and Robotics Dominate Manufacturing Technology,News,F - Boilerplate,0,Yes,234,6,11,11,AMD Machines News Desk,1/5/26,Updated 2026-01-29
https://amdmachines.com/blog/electric-vehicle-battery-recycling-automation-expands/,Electric Vehicle Battery Recycling Automation Expands,News,F - Boilerplate,0,Yes,241,6,11,11,AMD Machines News Desk,10/12/25,Updated 2026-01-29
https://amdmachines.com/blog/us-and-eu-announce-joint-ai-manufacturing-standards-initiati/,US and EU Announce Joint AI Manufacturing Standards,News,F - Boilerplate,0,Yes,235,6,11,11,AMD Machines News Desk,10/28/25,Updated 2026-01-29
https://amdmachines.com/blog/robotics-companies-report-record-order-backlogs/,Robotics Companies Report Record Order Backlogs,News,F - Boilerplate,0,Yes,245,6,11,11,AMD Machines News Desk,9/28/25,Updated 2026-01-29
